venderId,shopId,beans,url
1000001829,1000001829,1,https://mall.jd.com/index-1000001829.html
1000001834,1000001834,1,https://mall.jd.com/index-1000001834.html
1000001845,1000001845,1,https://mall.jd.com/index-1000001845.html
1000001846,1000001846,1,https://mall.jd.com/index-1000001846.html
1000001859,1000001859,1,https://mall.jd.com/index-1000001859.html
1000001863,1000001863,0,https://mall.jd.com/index-1000001863.html
1000001865,1000001865,1,https://mall.jd.com/index-1000001865.html
1000001902,1000001902,1,https://mall.jd.com/index-1000001902.html
1000001916,1000001916,1,https://mall.jd.com/index-1000001916.html
1000001930,1000001930,0,https://mall.jd.com/index-1000001930.html
1000001933,1000001933,1,https://mall.jd.com/index-1000001933.html
1000001934,1000001934,1,https://mall.jd.com/index-1000001934.html
1000001942,1000001942,1,https://mall.jd.com/index-1000001942.html
1000001943,1000001943,1,https://mall.jd.com/index-1000001943.html
1000001953,1000001953,1,https://mall.jd.com/index-1000001953.html
1000001956,1000001956,0,https://mall.jd.com/index-1000001956.html
1000001961,1000001961,0,https://mall.jd.com/index-1000001961.html
1000001967,1000001967,1,https://mall.jd.com/index-1000001967.html
1000001978,1000001978,1,https://mall.jd.com/index-1000001978.html
1000001982,1000001982,1,https://mall.jd.com/index-1000001982.html
1000001996,1000001996,1,https://mall.jd.com/index-1000001996.html
1000002053,1000002053,1,https://mall.jd.com/index-1000002053.html
1000002062,1000002062,1,https://mall.jd.com/index-1000002062.html
1000002076,1000002076,0,https://mall.jd.com/index-1000002076.html
1000002122,1000002122,1,https://mall.jd.com/index-1000002122.html
1000002182,1000002182,0,https://mall.jd.com/index-1000002182.html
1000002204,1000002204,1,https://mall.jd.com/index-1000002204.html
1000002241,1000002241,1,https://mall.jd.com/index-1000002241.html
1000002257,1000002257,1,https://mall.jd.com/index-1000002257.html
1000002261,1000002261,1,https://mall.jd.com/index-1000002261.html
1000002270,1000002270,1,https://mall.jd.com/index-1000002270.html
1000002298,1000002298,0,https://mall.jd.com/index-1000002298.html
1000002304,1000002304,1,https://mall.jd.com/index-1000002304.html
1000002305,1000002305,1,https://mall.jd.com/index-1000002305.html
1000002308,1000002308,0,https://mall.jd.com/index-1000002308.html
1000002326,1000002326,0,https://mall.jd.com/index-1000002326.html
1000002350,1000002350,1,https://mall.jd.com/index-1000002350.html
1000002368,1000002368,1,https://mall.jd.com/index-1000002368.html
1000002370,1000002370,1,https://mall.jd.com/index-1000002370.html
